game_id,year,week,owner_1,score_1,result_1,owner_2,score_2,result_2,season,round
1,2012,1,DG,97,L,WF,137,W,Regular Season,Regular Season
2,2012,1,LB,94,L,OB,104,W,Regular Season,Regular Season
3,2012,1,ML,92,L,NN,98,W,Regular Season,Regular Season
4,2012,1,PD,98,L,DK,123,W,Regular Season,Regular Season
5,2012,1,CN,89,W,CD,60,L,Regular Season,Regular Season
6,2012,2,PD,107,W,LB,97,L,Regular Season,Regular Season
7,2012,2,WF,97,L,DK,143,W,Regular Season,Regular Season
8,2012,2,CN,77,L,NN,136,W,Regular Season,Regular Season
9,2012,2,ML,79,L,OB,109,W,Regular Season,Regular Season
10,2012,2,DG,72,L,CD,75,W,Regular Season,Regular Season
11,2012,3,CD,75,L,ML,120,W,Regular Season,Regular Season
12,2012,3,PD,97,W,DG,75,L,Regular Season,Regular Season
13,2012,3,OB,100,L,NN,106,W,Regular Season,Regular Season
14,2012,3,WF,129,W,CN,67,L,Regular Season,Regular Season
15,2012,3,DK,78,L,LB,88,W,Regular Season,Regular Season
16,2012,4,DG,97,W,LB,77,L,Regular Season,Regular Season
17,2012,4,CD,102,L,OB,108,W,Regular Season,Regular Season
18,2012,4,CN,85,L,ML,148,W,Regular Season,Regular Season
19,2012,4,WF,132,W,PD,102,L,Regular Season,Regular Season
20,2012,4,DK,127,W,NN,117,L,Regular Season,Regular Season
21,2012,5,LB,66,L,WF,141,W,Regular Season,Regular Season
22,2012,5,NN,78,T,CD,78,T,Regular Season,Regular Season
23,2012,5,DG,77,L,DK,109,W,Regular Season,Regular Season
24,2012,5,ML,159,W,PD,86,L,Regular Season,Regular Season
25,2012,5,CN,56,L,OB,104,W,Regular Season,Regular Season
26,2012,6,CD,101,L,WF,104,W,Regular Season,Regular Season
27,2012,6,OB,78,L,DG,95,W,Regular Season,Regular Season
28,2012,6,PD,77,L,NN,96,W,Regular Season,Regular Season
29,2012,6,DK,77,L,CN,103,W,Regular Season,Regular Season
30,2012,6,ML,106,W,LB,77,L,Regular Season,Regular Season
31,2012,7,ML,75,L,DG,84,W,Regular Season,Regular Season
32,2012,7,DK,104,L,CD,114,W,Regular Season,Regular Season
33,2012,7,CN,113,W,PD,89,L,Regular Season,Regular Season
34,2012,7,WF,93,W,OB,26,L,Regular Season,Regular Season
35,2012,7,NN,107,W,LB,46,L,Regular Season,Regular Season
36,2012,8,NN,114,W,DG,90,L,Regular Season,Regular Season
37,2012,8,LB,70,W,CN,53,L,Regular Season,Regular Season
38,2012,8,ML,68,L,WF,132,W,Regular Season,Regular Season
39,2012,8,OB,98,L,DK,99,W,Regular Season,Regular Season
40,2012,8,PD,55,L,CD,68,W,Regular Season,Regular Season
41,2012,9,DG,82,W,CN,70,L,Regular Season,Regular Season
42,2012,9,WF,94,L,NN,101,W,Regular Season,Regular Season
43,2012,9,CD,106,L,LB,110,W,Regular Season,Regular Season
44,2012,9,ML,128,W,DK,88,L,Regular Season,Regular Season
45,2012,9,PD,50,L,OB,99,W,Regular Season,Regular Season
46,2012,10,WF,117,W,DK,101,L,Regular Season,Regular Season
47,2012,10,CN,121,W,NN,86,L,Regular Season,Regular Season
48,2012,10,LB,95,L,PD,99,W,Regular Season,Regular Season
