year,owner_id,wins,losses,ties,finish,points_for,pf_rank,points_against,pa_rank
2012,LB,1,2,0,8,248,,259,
2012,DG,0,3,0,9,294,,224,
2012,OB,2,1,0,2,330,,314,
2012,CD,2,1,0,1,445,,271,
2012,WF,2,0,0,3,196,,232,
2012,CN,3,0,0,10,200,,285,
2012,NN,3,0,0,4,170,,220,
2012,ML,1,2,0,6,340,,337,
2012,DK,2,1,0,5,302,,409,
2012,PD,2,1,0,7,264,,238,
2013,LB,1,1,0,10,231,,302,
2013,DG,0,3,0,5,309,,313,
2013,OB,2,1,0,9,267,,297,
2013,CD,2,1,0,1,404,,261,
2013,WF,1,2,0,6,300,,343,
2013,CN,1,1,0,7,309,,220,
2013,NN,2,1,0,8,255,,243,
2013,ML,2,1,0,3,184,,220,
2013,DK,3,0,0,2,356,,315,
2013,RW,3,0,0,4,138,,239,
2014,LB,3,0,0,9,267,,254,
2014,DG,3,0,0,5,304,,292,
2014,OB,1,2,0,10,244,,307,
2014,CD,3,0,0,1,371,,238,
2014,WF,1,1,0,7,331,,238,
2014,CN,1,2,0,4,223,,282,
2014,NN,3,0,0,8,242,,285,
2014,ML,0,3,0,2,180,,136,
2014,DK,1,2,0,6,252,,375,
2014,RW,1,2,0,3,171,,178,
2015,LB,0,3,0,9,292.6,,267.5,
2015,DG,3,0,0,,402.6,,312,
2015,OB,1,2,0,,233.6,,240.6,
2015,CD,0,3,0,,359,,265.4,
2015,WF,3,0,0,,282,,327.4,
2015,CN,0,2,0,,249.6,,371.3,
2015,NN,0,2,0,,187.2,,277.3,
2015,ML,1,2,0,,295.2,,259.6,
2015,DK,0,3,0,,275.2,,258.9,
2015,RW,0,2,0,,322.9,,319.9,
2016,LB,2,1,0,,235.5,,193.5,
2016,DG,2,1,0,,218,,232.2,
2016,OB,1,2,0,,359.2,,337.6,
2016,CD,1,1,0,,307.1,,307.3,
2016,WF,1,1,0,,223.1,,277,
2016,CN,3,0,0,,272.6,,193.8,
2016,NN,1,2,0,,310.3,,226.5,
2016,ML,1,1,0,,257.4,,289.8,
2016,DK,1,2,0,,262.3,,279.1,
2016,RW,2,1,0,,210.9,,319.6,
2017,LB,0,3,0,,294.3,,180.7,
2017,DG,2,1,0,,274.2,,319.1,
2017,OB,1,2,0,,390.3,,310.9,
2017,CD,0,3,0,,405.6,,254.8,
2017,WF,2,1,0,,272.3,,257.9,
2017,CN,0,2,0,,126.1,,253.3,
2017,NN,1,1,0,,290.3,,319.3,
2017,ML,1,2,0,,203.7,,232.8,
2017,DK,0,3,0,,229.9,,319.3,
2017,RW,2,1,0,,252.6,,291.2,
