year,owner_id,wins,losses,ties,finish,points_for,pf_rank,points_against,pa_rank
2012,1,3,10,0,9,1063,9,1322,9
2012,2,5,8,0,7,1146,7,1224,6
2012,3,8,5,0,3,1226,5,1102,1
2012,4,7,5,1,6,1214,6,1124,3
2012,5,11,2,0,1,1482,1,1119,2
2012,6,5,8,0,8,1066,8,1278,7
2012,7,8,4,1,2,1296,3,1213,5
2012,8,7,6,0,5,1285,4,1144,4
2012,9,7,6,0,4,1396,2,1313,8
2012,10,3,10,0,10,1041,10,1376,10
2013,1,6,7,0,7,1167,9,1151,2
2013,2,7,6,0,6,1369,3,1218,3
2013,3,3,10,0,10,1138,10,1299,7
2013,4,8,5,0,4,1328,5,1149,1
2013,5,8,5,0,5,1257,6,1242,5
2013,6,5,8,0,8,1183,8,1424,10
2013,7,4,9,0,9,1218,7,1420,9
2013,8,8,5,0,2,1382,2,1298,6
2013,9,8,5,0,3,1329,4,1231,4
2013,11,8,5,0,1,1393,1,1332,8
2014,1,4,8,1,9,1017,10,1226,5
2014,2,8,5,0,4,1271,4,1183,2
2014,3,3,10,0,10,1093,8,1366,10
2014,4,8,5,0,3,1529,1,1283,9
2014,5,5,8,0,7,1223,6,1265,8
2014,6,7,5,1,5,1263,5,1238,7
2014,7,4,9,0,8,1071,9,1212,4
2014,8,10,3,0,1,1306,3,1235,6
2014,9,6,7,0,6,1200,7,1208,3
2014,11,9,4,0,2,1392,2,1149,1
2015,1,4,9,0,9,1384,4,1442.5,9
2015,2,7,6,0,4,1381.2,5,1223.9,3
2015,3,10,3,0,1,1484.5,1,1319,5
2015,4,5,8,0,7,1404.3,3,1383,8
2015,5,7,6,0,5,1137.8,9,1239.3,4
2015,6,3,10,0,10,1134.8,10,1380.6,7
2015,7,9,4,0,2,1426.9,2,1353,6
2015,8,6,7,0,6,1290.3,7,1215.5,1
2015,9,9,4,0,3,1374.1,6,1221.2,2
2015,11,5,8,0,8,1228.8,8,1468.7,10
2016,1,8,5,0,2,1370.5,3,1273.5,3
2016,2,8,5,0,1,1435.8,2,1205.4,1
2016,3,7,6,0,4,1507.8,1,1412.6,10
2016,4,7,6,0,5,1359.6,4,1315.2,6
2016,5,5,8,0,9,1206.1,9,1346.6,7
2016,6,5,8,0,8,1251.8,7,1310.2,5
2016,7,5,8,0,7,1311.5,6,1362.9,8
2016,8,7,6,0,6,1236.8,8,1306.7,4
2016,9,8,5,0,3,1338.5,5,1239.1,2
2016,11,5,8,0,10,1165.6,10,1411.8,9
2017,1,3,10,0,9,1116.7,9,1292.9,7
2017,2,7,6,0,5,1333.9,2,1270.2,6
2017,3,8,5,0,4,1295,5,1178.1,2
2017,4,8,5,0,3,1318.2,3,1264.3,5
2017,5,7,6,0,7,1204.2,8,1200.1,3
2017,6,8,5,0,2,1437.6,1,1317.7,9
2017,7,7,6,0,6,1301,4,1203,4
2017,8,9,4,0,1,1275.4,6,1139.7,1
2017,9,2,11,0,10,1008.6,10,1306.5,8
2017,11,6,7,0,8,1207.1,7,1325.2,10
